,census_name,population
0,Vancouver,39556.0
1,Surrey BC,12806.0
2,Coquitlam,4819.0
3,Burnaby,25574.0
4,Abbotsford,10721.0
5,North Vancouver,19087.0
6,Langley,1401.0
7,Delta,1712.0
8,Chilliwack,2838.0
9,Richmond,8942.0
