Census SubDivision Code,Census SubDivision Name,Census Subdivision Label,Census Sub Division Type,Census Division Code,Census Division Name,Census Division Type,Census Consolidated SubDivision Code,Census Consolidated Subdivision Name,Total Population,Total Pop Age 0-4,Total Pop Age 5-9,Total Pop Age 10 -14,Total Pop Age 15-19,Total Pop Age 20-24,Total Pop Age 25-29,Total Pop Age 30-34,Total Pop Age 35-39,Total Pop Age 40-44,Total Pop Age 45-49,Total Pop Age 50-54,Total Pop Age 55-59,Total Pop Age 60-64,Total Pop Age 65-69,Total Pop Age 70-74,Total Pop Age 75-79,Total Pop Age 80-84,Total Pop Age 85+,Total Census Family Households,Total Lone-Parent Family Households,Lone Parent Family Households with 1 Child,Lone Parent Family Households with 2 Children,Lone Parent Family Households with 3+ Children,Total Lone-Parent Female Family Households,Female Lone Parent Family Households with 1 Child,Female Lone Parent Family Households with 2 Children,Female Lone Parent Family Households with 3+ Children,Total Lone-Parent Male Family Households,Male Lone Parent Family Households with 1 Child,Male Lone Parent Family Households with 2 Children,Male Lone Parent Family Households with 3+ Children,Total Househoulds by Income,Households Income 0-19999,Households Income 20000-39999,Households Income 40000-59999,Households Income 60000-79999,Households Income 80000-99999,Households 100000+,Average Household Income,Household Population 25-64,Household 25-64 Education No Certificate Diploma Degree,Household 25-64 Education High School Diploma or Eq,Household 25-64 Education Apprenticeship Trades or Diploma,Household 25-64 Education College CEGEP Certificate or Diploma,Household 25-64 Education University Diploma or Cert Below Bachelor,Household 25-64 Education University Diploma or Cert Bachelor Level or above,Household Population 15Years or Over for Labor Force,Household population In the Labour Force,Household Pop Age 15+ Employed,Household Pop Age 15+ Unemployed,Household Pop Age 15+ Not in Labour Force,Household Population for Visible Minority,Household Population with Visible Minority,Household Population Chinese Visible Minority,Household Population South Asian Visible Minority,Household Population Black Visible Minority,Household Population Filipino Visible Minority,Household Population Latin American Visible Minority,Household Population Chinese Southeast Asian Minority,Household Population Arab Visible Minority,Household Population West Asian Visible Minority,Household Population Korean Visible Minority,Household Population Japanese Visible Minority,Household Population Other Visible Minority,Household Population Multiple Visible Minority,Household Population NOT a Visible Minority,Household Population for Aboriginal Identity,Household Population with Aboriginal Identity,Household Population with Non-Aboriginal Identity,Household Population for Immigrant Status,Household Population Non-Immigrant,Household Population Non-Immigrant in Province of Birth,Household Population Non-Immigrant outside of Province of Birth,Household Population Immigrant,Household Population for Recent Immigrants (2017-Present),Household Population of Recent Immigrants (2017-Present),Total Households For Household Size,1 Person Household,2 Persons Household,3 Persons Household,4 Persons Household,5 or more Persons Household
5941827,"Charley Boy's Meadow 3, BC (IRI)",Charley Boy's Meadow 3,Indian reserve,5941,"Cariboo, BC (RD)",Regional district,5941039,"Cariboo J, BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5937022,"North Okanagan D, BC (RDA)",North Okanagan D,Regional district electoral area,5937,"North Okanagan, BC (RD)",Regional district,5937022,"North Okanagan D, BC",2614,130,121,136,133,92,86,117,151,142,167,194,247,294,233,162,101,59,49,778,86,54,24,8,58,36,14,8,30,20,10,0,1053,75,201,198,151,120,308,81247.11904,1387,201,439,226,307,22,192,2202,1283,1174,109,919,2589,43,0,10,0,0,0,10,0,0,15,8,0,0,2546,2589,287,2302,2589,2309,1657,652,251,2589,0,1053,235,477,149,112,80
5951848,"North Tacla Lake, BC (IRI)",North Tacla Lake,Indian reserve,5951,"Bulkley-Nechako, BC (RD)",Regional district,5951015,"Bulkley-Nechako C, BC",205,10,13,16,11,12,15,17,9,13,18,21,13,10,7,5,4,7,4,55,33,22,8,3,22,11,8,3,12,12,0,0,72,13,19,10,7,10,13,66265.05,116,54,0,36,26,0,0,166,107,94,13,59,205,0,0,0,0,0,0,0,0,0,0,0,0,0,205,205,193,12,205,204,204,0,1,205,0,72,18,18,18,6,12
5931815,"Chilhil 6, BC (IRI)",Chilhil 6,Indian reserve,5931,"Squamish-Lillooet, BC (RD)",Regional district,5931034,"Squamish-Lillooet B, BC",81,6,5,5,5,3,4,6,7,7,6,6,5,3,4,4,3,0,2,26,11,10,0,1,7,6,0,1,4,4,0,0,41,9,13,9,4,2,4,47829.18,44,11,13,5,0,0,15,65,38,36,2,27,81,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,78,3,81,81,81,0,0,81,0,41,19,14,0,6,2
5941841,"Stone 1, BC (IRI)",Stone 1,Indian reserve,5941,"Cariboo, BC (RD)",Regional district,5941041,"Cariboo K, BC",195,13,14,13,13,12,14,12,13,13,14,13,10,10,10,9,6,4,2,47,15,7,4,4,6,5,0,1,10,3,4,3,64,16,21,9,5,7,6,46305.58,99,37,36,9,17,0,0,155,85,67,18,70,195,0,0,0,0,0,0,0,0,0,0,0,0,0,195,195,190,5,195,189,152,37,6,195,0,64,15,8,14,14,13
5919802,"Squaw-hay-one 11, BC (IRI)",Squaw-hay-one 11,Indian reserve,5919,"Cowichan Valley, BC (RD)",Regional district,5919008,"North Cowichan, BC",36,3,2,3,1,2,2,1,2,3,3,4,3,2,2,0,1,1,1,7,0,0,0,0,1,1,0,0,0,0,0,0,10,1,5,2,1,0,1,46869.44,20,11,9,0,0,0,0,28,18,17,1,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,0,36,36,36,0,0,36,0,10,1,1,1,5,2
5939044,"Columbia-Shuswap F, BC (RDA)",Columbia-Shuswap F,Regional district electoral area,5939,"Columbia-Shuswap, BC (RD)",Regional district,5939044,"Columbia-Shuswap F, BC",2670,66,58,63,80,73,68,88,86,79,104,163,275,381,391,330,200,99,66,869,55,39,15,1,36,26,10,0,20,14,5,1,1259,135,277,204,182,120,341,79738.15979,1236,150,382,173,353,48,130,2458,1127,1036,91,1331,2645,50,3,23,0,14,0,10,0,0,0,0,0,0,2595,2645,72,2573,2645,2342,1222,1120,303,2645,25,1259,345,709,104,58,43
5933837,"Peq-Paq 22, BC (IRI)",Peq-Paq 22,Indian reserve,5933,"Thompson-Nicola, BC (RD)",Regional district,5933037,"Thompson-Nicola I (Blue Sky Country), BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5947030,"Port Clements, BC (VL)",Port Clements,Village,5947,"Skeena-Queen Charlotte, BC (RD)",Regional district,5947027,"Skeena-Queen Charlotte D, BC",262,5,7,10,9,11,13,17,11,14,17,24,26,31,27,21,10,4,5,81,16,12,3,1,9,6,2,1,7,6,1,0,153,14,42,17,16,13,51,83523.54,153,33,31,25,26,10,28,240,168,162,6,72,262,11,0,0,0,2,0,9,0,0,0,0,0,0,251,262,29,233,262,225,188,37,33,262,0,153,68,66,14,5,0
5941854,"Ulkatcho 13, BC (IRI)",Ulkatcho 13,Indian reserve,5941,"Cariboo, BC (RD)",Regional district,5941039,"Cariboo J, BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
