Census SubDivision Code,Census SubDivision Name,Census Subdivision Label,Census Sub Division Type,Census Division Code,Census Division Name,Census Division Type,Census Consolidated SubDivision Code,Census Consolidated Subdivision Name,Total Population,Total Pop Age 0-4,Total Pop Age 5-9,Total Pop Age 10 -14,Total Pop Age 15-19,Total Pop Age 20-24,Total Pop Age 25-29,Total Pop Age 30-34,Total Pop Age 35-39,Total Pop Age 40-44,Total Pop Age 45-49,Total Pop Age 50-54,Total Pop Age 55-59,Total Pop Age 60-64,Total Pop Age 65-69,Total Pop Age 70-74,Total Pop Age 75-79,Total Pop Age 80-84,Total Pop Age 85+,Total Census Family Households,Total Lone-Parent Family Households,Lone Parent Family Households with 1 Child,Lone Parent Family Households with 2 Children,Lone Parent Family Households with 3+ Children,Total Lone-Parent Female Family Households,Female Lone Parent Family Households with 1 Child,Female Lone Parent Family Households with 2 Children,Female Lone Parent Family Households with 3+ Children,Total Lone-Parent Male Family Households,Male Lone Parent Family Households with 1 Child,Male Lone Parent Family Households with 2 Children,Male Lone Parent Family Households with 3+ Children,Total Househoulds by Income,Households Income 0-19999,Households Income 20000-39999,Households Income 40000-59999,Households Income 60000-79999,Households Income 80000-99999,Households 100000+,Average Household Income,Household Population 25-64,Household 25-64 Education No Certificate Diploma Degree,Household 25-64 Education High School Diploma or Eq,Household 25-64 Education Apprenticeship Trades or Diploma,Household 25-64 Education College CEGEP Certificate or Diploma,Household 25-64 Education University Diploma or Cert Below Bachelor,Household 25-64 Education University Diploma or Cert Bachelor Level or above,Household Population 15Years or Over for Labor Force,Household population In the Labour Force,Household Pop Age 15+ Employed,Household Pop Age 15+ Unemployed,Household Pop Age 15+ Not in Labour Force,Household Population for Visible Minority,Household Population with Visible Minority,Household Population Chinese Visible Minority,Household Population South Asian Visible Minority,Household Population Black Visible Minority,Household Population Filipino Visible Minority,Household Population Latin American Visible Minority,Household Population Chinese Southeast Asian Minority,Household Population Arab Visible Minority,Household Population West Asian Visible Minority,Household Population Korean Visible Minority,Household Population Japanese Visible Minority,Household Population Other Visible Minority,Household Population Multiple Visible Minority,Household Population NOT a Visible Minority,Household Population for Aboriginal Identity,Household Population with Aboriginal Identity,Household Population with Non-Aboriginal Identity,Household Population for Immigrant Status,Household Population Non-Immigrant,Household Population Non-Immigrant in Province of Birth,Household Population Non-Immigrant outside of Province of Birth,Household Population Immigrant,Household Population for Recent Immigrants (2017-Present),Household Population of Recent Immigrants (2017-Present),Total Households For Household Size,1 Person Household,2 Persons Household,3 Persons Household,4 Persons Household,5 or more Persons Household
5903017,"Central Kootenay C, BC (RDA)",Central Kootenay C,Regional district electoral area,5903,"Central Kootenay, BC (RD)",Regional district,5903017,"Central Kootenay C, BC",1591,64,69,65,74,68,54,73,72,67,81,98,128,165,180,160,90,50,33,503,38,23,10,5,27,17,7,3,11,6,3,2,686,57,146,135,122,85,141,71953.5698,734,96,235,99,236,28,40,1383,777,726,51,606,1581,44,0,12,22,10,0,0,0,0,0,0,0,0,1537,1581,67,1514,1581,1358,770,588,213,1581,14,686,172,333,77,57,47
5901803,"Kootenay 1, BC (IRI)",Kootenay 1,Indian reserve,5901,"East Kootenay, BC (RD)",Regional district,5901035,"East Kootenay C, BC",214,13,12,17,12,12,16,18,13,11,20,19,16,13,9,6,5,2,0,47,16,12,4,0,16,14,2,0,2,0,2,0,65,9,17,12,10,6,11,59146.92,126,35,20,23,48,0,0,172,125,114,11,47,214,0,0,0,0,0,0,0,0,0,0,0,0,0,214,214,199,15,214,169,105,64,45,214,11,65,13,19,7,13,13
5907047,"Okanagan-Similkameen D, BC (RDA)",Okanagan-Similkameen D,Regional district electoral area,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907047,"Okanagan-Similkameen D, BC",6173,165,196,243,269,245,169,216,293,300,363,471,573,661,645,584,388,221,171,2024,172,113,46,13,133,87,37,9,43,30,9,4,2722,164,459,404,375,324,996,100146.5739,3025,230,818,481,882,66,548,5523,3108,2897,211,2415,6123,141,29,43,0,10,12,3,0,0,11,24,0,9,5982,6123,386,5737,6123,5446,3199,2247,669,6123,29,2722,631,1377,321,263,130
5909027,"Harrison Hot Springs, BC (VL)",Harrison Hot Springs,Village,5909,"Fraser Valley, BC (RD)",Regional district,5909034,"Fraser Valley D, BC",1618,40,50,56,59,58,44,56,72,73,85,104,142,166,173,186,136,73,45,537,45,35,8,2,32,27,4,1,13,8,4,1,837,84,150,189,134,80,200,74502.38093,728,53,248,81,229,18,99,1444,715,660,55,729,1590,94,19,16,16,18,3,0,0,0,22,0,0,0,1496,1590,115,1475,1590,1198,856,342,392,1590,80,837,297,403,74,50,13
5903047,"Central Kootenay G, BC (RDA)",Central Kootenay G,Regional district electoral area,5903,"Central Kootenay, BC (RD)",Regional district,5903047,"Central Kootenay G, BC",1662,63,88,94,86,66,68,96,126,129,124,120,148,148,123,86,50,28,19,403,66,43,11,12,52,36,7,9,15,8,4,3,644,100,169,118,70,57,130,64498.43332,959,121,309,174,253,37,65,1417,863,784,79,554,1662,43,0,11,8,0,10,0,0,0,0,0,14,0,1619,1662,80,1582,1662,1532,949,583,120,1662,0,644,196,238,70,85,55
5907051,"Okanagan-Similkameen F, BC (RDA)",Okanagan-Similkameen F,Regional district electoral area,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907051,"Okanagan-Similkameen F, BC",2149,69,89,117,136,120,82,78,73,105,139,164,219,235,199,151,85,47,41,690,43,31,8,4,32,24,4,4,13,9,4,0,807,30,85,88,72,91,441,128404.6283,1095,70,269,151,322,11,272,1874,1196,1115,81,678,2149,67,14,0,20,11,0,0,0,0,0,22,0,0,2082,2149,99,2050,2149,1857,1238,619,292,2149,18,807,101,383,129,124,70
5903058,"Central Kootenay J, BC (RDA)",Central Kootenay J,Regional district electoral area,5903,"Central Kootenay, BC (RD)",Regional district,5903058,"Central Kootenay J, BC",3487,138,159,175,187,173,152,206,214,210,262,282,322,286,253,205,137,78,48,1034,123,74,42,7,91,53,31,7,35,24,11,0,1458,97,229,197,179,167,589,95911.6529,1926,176,485,343,649,32,241,2990,1913,1756,157,1077,3462,71,0,9,10,18,0,14,0,0,0,8,0,12,3391,3462,212,3250,3462,3139,2251,888,254,3462,29,1458,381,598,231,167,81
5901003,"Elkford, BC (DM)",Elkford,District municipality,5901,"East Kootenay, BC (RD)",Regional district,5901017,"East Kootenay A, BC",2582,160,171,183,157,118,124,191,229,190,159,170,207,195,142,92,51,28,15,714,83,46,30,7,51,27,19,5,32,19,11,2,1012,29,67,81,71,106,658,128497.745,1465,113,489,296,365,33,169,2068,1433,1343,90,635,2582,95,3,14,11,29,9,22,0,0,0,0,7,0,2487,2582,134,2448,2582,2409,1164,1245,148,2582,0,1012,274,368,152,143,75
5903060,"Central Kootenay K, BC (RDA)",Central Kootenay K,Regional district electoral area,5903,"Central Kootenay, BC (RD)",Regional district,5903060,"Central Kootenay K, BC",1685,30,45,52,59,44,39,55,58,64,92,123,161,230,228,193,117,58,37,587,58,49,8,1,34,28,5,1,24,21,3,0,866,114,235,163,122,82,150,62918.70217,810,138,250,137,136,25,124,1542,770,711,59,772,1669,31,0,0,11,0,3,0,0,0,0,0,17,0,1638,1669,71,1598,1669,1427,812,615,242,1669,0,866,270,457,87,36,16
5909056,"Mission, BC (DM)",Mission,District municipality,5909,"Fraser Valley, BC (RD)",Regional district,5909060,"Fraser Valley F, BC",43456,2307,2580,2715,2708,2439,2607,2938,3120,2886,2860,3305,3468,2968,2279,1703,1079,727,767,10915,1865,1067,581,217,1539,869,502,168,475,301,115,59,14485,1021,2142,1903,1798,1781,5840,96180.33495,23503,2982,7794,3194,5629,691,3213,34472,22991,21591,1400,11481,42070,6661,274,4628,395,271,387,218,49,18,194,115,44,68,35409,42070,3359,38711,42070,34889,27431,7458,6750,42070,1436,14485,2988,4774,2513,2244,1966
5905052,"Kootenay Boundary D / Rural Grand Forks, BC (RDA)",Kootenay Boundary D / Rural Grand Forks,Regional district electoral area,5905,"Kootenay Boundary, BC (RD)",Regional district,5905052,"Kootenay Boundary D / Rural Grand Forks, BC",3171,92,127,148,151,111,97,102,112,126,178,238,290,345,349,304,200,124,77,958,92,66,21,5,64,50,12,2,31,19,9,3,1356,123,307,276,206,141,303,73390.59702,1479,106,472,239,416,44,202,2765,1355,1295,60,1410,3127,116,26,11,43,23,0,0,13,0,0,0,0,0,3011,3127,148,2979,3127,2755,1828,927,316,3127,0,1356,357,646,167,113,73
5915015,"Richmond, BC (CY)",Richmond,City,5915,"Greater Vancouver, BC (RD)",Regional district,5915015,"Richmond, BC",216320,9199,9051,9365,12187,13803,15913,15615,14202,13519,14474,16379,17272,15888,13208,10187,6610,4659,4789,57981,8638,5769,2388,481,8571,5625,2458,488,1742,1205,404,133,79185,8942,14393,11577,9861,8126,26286,92738.23038,123021,7637,30180,5322,21083,5035,53764,186835,119288,113359,5929,67547,214443,170221,117097,18678,1608,13673,1924,2261,2068,1597,1325,3709,597,5684,44222,214443,1974,212469,214443,71734,56482,15252,129490,214443,13203,79185,18211,24415,15773,12616,8170
5901037,"East Kootenay E, BC (RDA)",East Kootenay E,Regional district electoral area,5901,"East Kootenay, BC (RD)",Regional district,5901037,"East Kootenay E, BC",1849,61,59,75,77,60,67,86,92,103,121,127,167,193,195,172,100,52,42,584,49,36,10,3,39,29,8,2,12,9,2,1,824,60,120,132,99,97,316,97362.08563,952,104,237,152,269,36,154,1648,960,866,94,688,1843,42,0,16,13,0,0,0,0,0,13,0,0,0,1801,1843,148,1695,1843,1654,1048,606,189,1843,6,824,211,406,102,72,33
5909812,"Schkam 2, BC (IRI)",Schkam 2,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909016,"Fraser Valley B, BC",142,5,13,19,19,12,9,15,13,7,6,6,5,5,4,3,1,0,0,35,19,4,9,6,19,6,7,6,3,0,3,0,42,10,12,10,5,2,3,43124.23,66,18,24,0,7,17,0,105,74,57,17,31,142,0,0,0,0,0,0,0,0,0,0,0,0,0,142,142,132,10,142,141,110,31,1,142,0,42,6,5,16,5,10
5909834,"Tseatah 2, BC (IRI)",Tseatah 2,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909034,"Fraser Valley D, BC",29,2,3,3,3,1,2,2,1,1,1,2,2,2,1,1,1,1,0,5,1,0,0,1,1,0,0,1,0,0,0,0,7,1,4,1,1,0,0,37499.37,13,7,6,0,0,0,0,21,13,13,0,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,25,4,29,28,28,0,1,29,0,7,1,2,0,2,2
5901802,"Isidore's Ranch 4, BC (IRI)",Isidore's Ranch 4,Indian reserve,5901,"East Kootenay, BC (RD)",Regional district,5901035,"East Kootenay C, BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5901019,"East Kootenay B, BC (RDA)",East Kootenay B,Regional district electoral area,5901,"East Kootenay, BC (RD)",Regional district,5901019,"East Kootenay B, BC",2152,82,99,106,96,91,89,104,121,116,131,142,207,219,201,151,99,57,41,656,62,40,17,5,39,24,12,3,23,16,5,2,884,50,120,135,121,96,362,107582.3638,1063,112,326,199,313,25,88,1745,1055,986,69,690,2030,6,0,0,0,0,0,6,0,0,0,0,0,0,2024,2030,136,1894,2030,1980,1271,709,50,2030,10,884,226,411,106,91,50
5901039,"Invermere, BC (DM)",Invermere,District municipality,5901,"East Kootenay, BC (RD)",Regional district,5901046,"East Kootenay F, BC",3729,170,192,210,210,215,188,235,286,270,226,210,240,272,263,192,122,96,132,1007,137,69,52,16,105,53,40,12,32,16,12,4,1479,82,248,223,196,178,552,99347.95665,1916,122,397,295,577,56,469,2970,2076,1962,114,894,3542,204,9,23,22,89,9,0,0,8,0,28,5,11,3338,3542,268,3274,3542,2917,1352,1565,522,3542,53,1479,392,583,210,206,88
5903023,"Kaslo, BC (VL)",Kaslo,Village,5903,"Central Kootenay, BC (RD)",Regional district,5903039,"Central Kootenay D, BC",996,33,38,48,50,38,40,38,38,42,51,60,89,105,114,89,52,33,38,285,35,24,10,1,25,18,6,1,10,6,4,0,498,59,144,84,58,62,91,66011.71036,459,45,143,54,134,0,83,851,467,438,29,384,970,13,0,0,3,10,0,0,0,0,0,0,0,0,957,970,55,915,970,823,426,397,147,970,0,498,194,198,57,36,13
5901040,"Radium Hot Springs, BC (VL)",Radium Hot Springs,Village,5901,"East Kootenay, BC (RD)",Regional district,5901048,"East Kootenay G, BC",821,30,30,36,34,37,39,44,37,41,58,56,72,88,82,61,38,22,16,260,22,13,9,0,16,12,4,0,6,1,5,0,372,22,56,48,52,45,149,97690.09,418,37,106,53,116,19,87,704,406,370,36,298,800,55,0,55,0,0,0,0,0,0,0,0,0,0,745,800,42,758,800,669,248,421,131,800,9,372,101,175,48,37,11
5907035,"Summerland, BC (DM)",Summerland,District municipality,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907051,"Okanagan-Similkameen F, BC",12205,430,466,543,561,532,421,536,576,583,658,793,999,1180,1141,975,690,488,633,3491,365,246,97,22,284,192,76,16,85,58,21,6,5001,332,887,815,670,634,1663,93765.81083,5686,360,1556,620,1685,143,1322,10217,5972,5534,438,4245,11653,490,70,207,25,42,41,17,13,0,0,64,0,11,11163,11653,648,11005,11653,10069,5923,4146,1479,11653,53,5001,1366,2231,612,522,270
5905005,"Fruitvale, BC (VL)",Fruitvale,Village,5905,"Kootenay Boundary, BC (RD)",Regional district,5905030,"Kootenay Boundary B / Lower Columbia-Old-Glory, BC",2092,91,114,104,110,127,108,115,114,96,118,128,164,185,156,135,91,62,74,612,78,54,22,2,68,47,19,2,11,8,3,0,861,61,151,120,103,84,342,93530.42897,1021,60,314,198,303,26,120,1707,977,895,82,730,2016,48,10,0,0,0,12,0,0,0,0,0,26,0,1968,2016,95,1921,2016,1903,1461,442,113,2016,7,861,229,376,104,122,30
5905042,"Greenwood, BC (CY)",Greenwood,City,5905,"Kootenay Boundary, BC (RD)",Regional district,5905054,"Kootenay Boundary E / West Boundary, BC",674,20,20,20,24,16,15,17,23,21,26,44,63,81,93,82,51,31,27,232,32,30,1,1,21,20,0,1,11,10,1,0,384,65,138,85,44,16,36,49279.98,290,64,101,38,57,13,17,614,231,216,15,383,674,56,0,0,0,0,0,0,0,0,0,56,0,0,618,674,44,630,674,582,356,226,70,674,0,384,147,197,27,13,0
5907028,"Okanagan-Similkameen C, BC (RDA)",Okanagan-Similkameen C,Regional district electoral area,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907028,"Okanagan-Similkameen C, BC",3571,125,120,137,141,121,123,136,148,156,199,237,308,388,375,351,241,145,120,1097,76,57,13,6,71,50,14,7,25,21,3,1,1566,138,332,315,216,184,381,79114.06048,1693,296,574,159,394,34,236,3182,1784,1635,149,1398,3564,717,11,651,0,0,22,0,0,0,0,0,30,3,2847,3564,127,3437,3564,2614,1600,1014,878,3564,0,1566,407,760,163,121,115
5907009,"Keremeos, BC (VL)",Keremeos,Village,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907053,"Okanagan-Similkameen G, BC",1721,49,56,60,57,43,56,54,62,57,70,86,121,168,210,204,149,111,108,523,70,49,15,6,54,35,13,6,17,15,2,0,810,95,253,163,113,64,122,61623.38904,673,140,239,79,149,24,42,1494,703,604,99,791,1659,153,0,79,19,3,0,0,0,35,0,0,17,0,1506,1659,64,1595,1659,1423,825,598,201,1659,32,810,265,408,65,44,28
5909016,"Fraser Valley B, BC (RDA)",Fraser Valley B,Regional district electoral area,5909,"Fraser Valley, BC (RD)",Regional district,5909016,"Fraser Valley B, BC",997,28,31,36,37,34,31,34,43,47,61,76,111,114,90,73,55,37,59,205,16,10,5,1,10,6,3,1,7,5,2,0,378,52,107,77,41,34,67,63695.18664,488,91,223,60,61,22,31,793,423,400,23,370,888,0,0,0,0,0,0,0,0,0,0,0,0,0,888,888,107,781,888,724,529,195,164,888,34,378,137,148,38,24,31
5903004,"Creston, BC (T)",Creston,Town,5903,"Central Kootenay, BC (RD)",Regional district,5903013,"Central Kootenay B, BC",5781,189,219,219,234,250,247,258,261,235,290,327,400,487,542,541,422,310,350,1662,214,138,58,18,171,113,45,13,43,25,13,5,2782,345,777,527,385,230,518,64475.09745,2480,356,727,257,770,58,312,4898,2478,2342,136,2420,5522,108,10,19,3,35,12,18,0,0,11,0,0,0,5414,5522,309,5213,5522,4884,2544,2340,613,5522,55,2782,1054,1160,307,165,96
5909849,"Skwahla 2, BC (IRI)",Skwahla 2,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909036,"Fraser Valley E, BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5909835,"Aitchelitch 9, BC (IRI)",Aitchelitch 9,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909036,"Fraser Valley E, BC",16,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,0,0,39249.35,9,4,4,0,0,1,0,13,9,9,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,13,3,16,15,15,0,1,16,0,4,0,2,0,0,2
5907808,"Alexis 9, BC (IRI)",Alexis 9,Indian reserve,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907053,"Okanagan-Similkameen G, BC",8,0,0,0,3,1,0,0,1,1,0,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,6,2,2,0,1,0,1,49962.9,3,0,1,0,0,0,2,8,5,5,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,8,7,7,0,0,8,0,6,5,0,1,0,0
5901012,"Fernie, BC (CY)",Fernie,City,5901,"East Kootenay, BC (RD)",Regional district,5901017,"East Kootenay A, BC",5672,353,351,322,243,244,372,533,553,464,370,317,352,340,301,232,142,90,93,1518,123,78,35,10,89,58,24,7,35,21,11,3,2243,128,311,242,220,225,1117,118781.2616,3295,125,700,516,726,101,1127,4555,3320,3104,216,1235,5581,182,38,25,0,55,26,0,0,0,15,20,0,3,5399,5581,335,5246,5581,4596,2168,2428,720,5581,94,2243,605,851,338,333,116
5903045,"Castlegar, BC (CY)",Castlegar,City,5903,"Central Kootenay, BC (RD)",Regional district,5903058,"Central Kootenay J, BC",8656,389,396,416,448,487,478,579,545,490,549,529,628,640,584,530,407,264,297,2459,358,218,104,36,268,158,87,23,91,61,17,13,3770,299,704,560,484,449,1274,86246.10647,4419,264,1324,711,1249,97,774,7183,4498,4211,287,2685,8384,580,83,277,87,29,30,28,0,0,0,16,0,30,7804,8384,473,7911,8384,7167,5209,1958,849,8384,51,3770,1156,1463,555,428,168
5905054,"Kootenay Boundary E / West Boundary, BC (RDA)",Kootenay Boundary E / West Boundary,Regional district electoral area,5905,"Kootenay Boundary, BC (RD)",Regional district,5905054,"Kootenay Boundary E / West Boundary, BC",2355,68,98,129,119,89,64,86,115,146,148,154,212,256,265,210,116,52,28,677,67,39,19,9,51,27,16,8,18,14,3,1,1094,201,314,176,125,74,204,60763.1974,1168,154,322,189,316,9,178,2025,1127,1069,58,898,2314,19,0,0,10,0,0,0,0,0,0,0,0,9,2295,2314,127,2187,2314,1948,1196,752,292,2314,20,1094,378,458,121,83,54
5907041,"Penticton, BC (CY)",Penticton,City,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907047,"Okanagan-Similkameen D, BC",35978,1356,1501,1479,1571,1774,1763,2016,2014,1814,2213,2400,2923,2949,2732,2474,1842,1474,1683,9861,1733,1127,462,144,1401,914,380,107,357,233,87,37,16809,1569,3898,3018,2352,1634,4338,82068.13912,17832,1897,5311,2005,4660,459,3500,30291,18506,17039,1467,11785,34621,2598,294,1152,106,322,125,164,33,35,106,145,41,75,32023,34621,2394,32227,34621,29382,17829,11553,4994,34621,328,16809,6169,6578,1960,1391,711
5909847,"Bucktum 4, BC (IRI)",Bucktum 4,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909016,"Fraser Valley B, BC",5,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5711.47,5,2,2,0,1,0,0,5,4,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,2,5,4,3,1,1,5,0,1,0,0,0,0,1
5903027,"Silverton, BC (VL)",Silverton,Village,5903,"Central Kootenay, BC (RD)",Regional district,5903052,"Central Kootenay H, BC",193,1,3,5,5,3,3,3,2,6,10,12,25,32,30,25,15,7,6,68,11,7,3,1,7,5,2,0,4,2,1,1,113,30,22,19,16,10,16,61615.37,93,10,24,13,23,0,23,184,87,87,0,97,193,3,0,0,0,0,0,0,0,0,0,3,0,0,190,193,0,193,193,131,81,50,62,193,0,113,41,64,8,0,0
5915034,"Coquitlam, BC (CY)",Coquitlam,City,5915,"Greater Vancouver, BC (RD)",Regional district,5915020,"Greater Vancouver A, BC",162399,7585,8123,8232,10342,10704,10822,11459,11493,11407,11759,12483,12642,10781,8291,6438,4230,2837,2771,40910,6056,3815,1767,474,5330,3316,1622,392,1277,850,309,118,55399,4819,8917,7870,6636,5628,21529,102956.9525,92541,4872,21940,6471,19521,3041,36696,137076,92076,87357,4719,45000,161013,88568,36154,9141,2147,6104,2980,2273,2153,11209,11263,1600,470,3074,72445,161013,3648,157365,161013,79435,60928,18507,73015,161013,15190,55399,12220,16742,10657,10144,5636
5917040,"Esquimalt, BC (DM)",Esquimalt,District municipality,5917,"Capital, BC (RD)",Regional district,5917021,"Saanich, BC",19851,827,805,702,758,1084,1637,1715,1659,1344,1249,1376,1523,1450,1268,995,614,410,435,4724,861,626,191,44,659,501,134,24,208,129,59,20,9017,924,1772,1568,1338,1043,2372,79978.22615,11562,936,3281,1094,2842,230,3179,16659,11311,10785,526,5348,18972,2234,410,271,395,404,147,207,56,46,63,125,30,80,16738,18972,1201,17771,18972,15935,8928,7007,2828,18972,421,9017,3589,3230,1116,751,331
5919814,"Malachan 11, BC (IRI)",Malachan 11,Indian reserve,5919,"Cowichan Valley, BC (RD)",Regional district,5919033,"Cowichan Valley F, BC",168,16,18,17,17,15,17,14,8,5,7,8,7,5,3,5,4,2,0,45,13,10,0,3,1,0,0,1,12,10,0,2,70,10,26,15,9,2,8,47632.95,71,27,17,11,16,0,0,117,81,75,6,36,168,0,0,0,0,0,0,0,0,0,0,0,0,0,168,168,154,14,168,168,168,0,0,168,0,70,32,9,7,13,9
5907053,"Okanagan-Similkameen G, BC (RDA)",Okanagan-Similkameen G,Regional district electoral area,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907053,"Okanagan-Similkameen G, BC",2249,78,63,81,89,60,67,80,80,80,107,127,170,251,271,266,187,111,81,708,79,52,21,6,58,40,15,3,22,13,6,3,1130,127,372,214,140,104,173,64113.42231,962,124,364,130,209,25,110,2027,982,911,71,1045,2249,214,0,160,0,13,0,21,0,0,0,10,0,10,2035,2249,186,2063,2249,1880,1067,813,347,2249,0,1130,386,533,102,70,39
5909034,"Fraser Valley D, BC (RDA)",Fraser Valley D,Regional district electoral area,5909,"Fraser Valley, BC (RD)",Regional district,5909034,"Fraser Valley D, BC",1723,111,111,114,111,89,83,83,95,120,129,121,123,122,104,95,61,32,19,482,19,11,5,3,15,10,2,3,6,2,4,0,575,28,67,69,69,62,280,105586.2447,848,81,289,109,183,26,160,1347,851,799,52,496,1683,64,32,0,0,4,13,0,5,0,0,10,0,0,1619,1683,35,1648,1683,1461,1144,317,168,1683,37,575,73,236,89,105,72
5924052,"Strathcona B, BC (RDA)",Strathcona B,Regional district electoral area,5924,"Strathcona, BC (RD)",Regional district,5924054,"Strathcona C, BC",1143,43,42,51,42,38,46,56,64,67,53,74,81,108,121,118,72,38,29,344,51,47,2,2,35,34,0,1,16,13,2,1,666,116,229,124,52,45,100,59858.17635,542,30,144,60,83,28,197,983,504,469,35,479,1119,55,0,21,11,10,3,10,0,0,0,0,0,0,1064,1119,79,1040,1119,926,545,381,193,1119,24,666,314,272,60,19,1
5907022,"Okanagan-Similkameen A, BC (RDA)",Okanagan-Similkameen A,Regional district electoral area,5907,"Okanagan-Similkameen, BC (RD)",Regional district,5907022,"Okanagan-Similkameen A, BC",2061,59,59,54,67,75,67,75,96,92,108,129,193,262,255,211,130,69,60,644,50,35,14,1,37,25,11,1,17,13,4,0,860,39,123,153,135,108,302,99747.72417,989,87,381,88,226,16,191,1839,1028,935,93,811,2011,370,0,347,0,3,0,0,3,5,9,3,0,0,1641,2011,39,1972,2011,1390,881,509,608,2011,71,860,182,473,91,70,44
5909814,"Skawahlook 1, BC (IRI)",Skawahlook 1,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909016,"Fraser Valley B, BC",21,0,2,2,2,1,3,1,0,0,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5711.47,4,2,1,0,1,0,0,6,4,4,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,3,8,7,5,2,1,8,0,1,0,0,0,0,1
5909850,"Boothroyd 13, BC (IRI)",Boothroyd 13,Indian reserve,5909,"Fraser Valley, BC (RD)",Regional district,5909016,"Fraser Valley B, BC",5,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,1,90793.65,5,2,2,0,1,0,0,5,4,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,2,5,4,3,1,1,5,0,3,1,2,0,0,0
5901017,"East Kootenay A, BC (RDA)",East Kootenay A,Regional district electoral area,5901,"East Kootenay, BC (RD)",Regional district,5901017,"East Kootenay A, BC",1934,118,99,105,99,74,92,131,139,134,146,135,155,160,138,104,60,30,15,591,43,30,13,0,30,20,10,0,13,10,3,0,806,46,87,96,84,65,428,123918.5515,1092,78,314,173,340,22,165,1606,1130,1064,66,476,1928,8,0,0,0,0,8,0,0,0,0,0,0,0,1920,1928,135,1793,1928,1709,924,785,155,1928,0,806,189,359,113,112,33
5915029,"New Westminster, BC (CY)",New Westminster,City,5915,"Greater Vancouver, BC (RD)",Regional district,5915025,"Burnaby, BC",81568,3505,3232,2927,3523,4561,6762,7734,7000,5797,5680,6054,6205,5390,4337,3419,2178,1510,1754,20019,3002,2183,672,147,2520,1819,585,116,631,465,126,40,35751,3424,6444,5868,4901,4001,11113,88805.99158,50365,2866,11753,3574,11407,1705,19060,70642,50263,47755,2508,20379,80298,35012,8783,8315,2470,6425,1755,1020,895,1075,1753,1000,366,1155,45286,80298,2643,77655,80298,46549,32993,13556,28877,80298,5617,35751,13616,11926,4766,3434,2009
5903041,"Central Kootenay E, BC (RDA)",Central Kootenay E,Regional district electoral area,5903,"Central Kootenay, BC (RD)",Regional district,5903041,"Central Kootenay E, BC",3804,158,161,173,179,153,155,181,228,240,263,269,330,375,336,275,165,90,73,1184,175,123,42,10,128,94,28,6,47,29,14,4,1789,170,405,342,269,176,427,75752.72399,2027,135,507,207,616,35,527,3292,2058,1929,129,1234,3784,113,10,12,20,0,12,11,0,0,0,48,0,0,3671,3784,173,3611,3784,3237,1811,1426,529,3784,0,1789,548,759,269,157,56
