Greenhouse products and mushrooms,Total greenhouse area in use on census day 8 9,,,,,,Greenhouse vegetables 10,,,,,,Total growing area for mushrooms,,,,,
Unit of measure,Number of farms reporting,,Square feet,,Square metres,,Number of farms reporting,,Square feet,,Square metres,,Number of farms reporting,,Square feet,,Square metres,
"Central Kootenay H, British Columbia [CCS590403052]",7,10,"31,920","38,132","2,965","3,543",5,9,x,"20,232",x,"1,880",1,1,x,x,x,x
"Central Kootenay J, British Columbia [CCS590403058]",6,6,"18,470","14,710","1,716","1,367",4,6,"12,350","9,160","1,147",851,0,1,0,x,0,x
"Central Kootenay K, British Columbia [CCS590403060]",3,5,"2,240","2,576",208,239,2,5,x,x,x,x,0,0,0,0,0,0
"Kootenay Boundary B / Lower Columbia-Old-Glory, British Columbia [CCS590405030]",4,4,"24,251","14,450","2,253","1,342",2,3,x,x,x,x,0,0,0,0,0,0
"Kootenay Boundary D / Rural Grand Forks, British Columbia [CCS590405052]",9,10,"55,211","43,000","5,129","3,995",4,5,x,"16,100",x,"1,496",0,0,0,0,0,0
"Kootenay Boundary E / West Boundary, British Columbia [CCS590405054]",3,5,"9,920","15,480",922,"1,438",2,2,x,x,x,x,0,0,0,0,0,0
"Cariboo D, British Columbia [CCS590541010]",5,3,"12,640","11,380","1,174","1,057",3,3,x,x,x,x,1,0,x,0,x,0
"Cariboo E, British Columbia [CCS590541012]",0,2,0,x,0,x,0,2,0,x,0,x,0,0,0,0,0,0
"Cariboo F, British Columbia [CCS590541014]",10,7,"43,095","28,922","4,004","2,687",3,5,"1,935",x,180,x,0,0,0,0,0,0
"Cariboo G, British Columbia [CCS590541015]",5,5,"8,840","9,581",821,890,3,3,"4,800",x,446,x,0,0,0,0,0,0
"Cariboo H, British Columbia [CCS590541016]",4,1,x,x,x,x,1,1,x,x,x,x,0,0,0,0,0,0
"Cariboo L, British Columbia [CCS590541017]",4,5,"23,550","31,370","2,188","2,914",3,3,x,x,x,x,0,0,0,0,0,0
"Cariboo A, British Columbia [CCS590541019]",9,6,"270,624","49,684","25,142","4,616",4,3,"2,024","2,584",188,240,0,1,0,x,0,x
"Cariboo B, British Columbia [CCS590541021]",4,1,x,x,x,x,3,1,"4,020",x,373,x,0,0,0,0,0,0
"Cariboo C, British Columbia [CCS590541026]",1,0,x,0,x,0,1,0,x,0,x,0,0,0,0,0,0,0
"Cariboo I, British Columbia [CCS590541027]",2,2,x,x,x,x,2,2,x,x,x,x,0,0,0,0,0,0
"Cariboo J, British Columbia [CCS590541039]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cariboo K, British Columbia [CCS590541041]",2,3,x,"3,250",x,302,2,2,x,x,x,x,0,0,0,0,0,0
"Fraser-Fort George H, British Columbia [CCS590553019]",3,5,"11,500","7,524","1,068",699,3,5,x,x,x,x,0,0,0,0,0,0
"Fraser-Fort George A, British Columbia [CCS590553038]",4,3,x,x,x,x,3,3,x,x,x,x,0,0,0,0,0,0
"Fraser-Fort George C, British Columbia [CCS590553042]",2,4,x,"32,728",x,"3,041",1,2,x,x,x,x,1,0,x,0,x,0
"Fraser-Fort George D, British Columbia [CCS590553044]",7,3,x,"57,000",x,"5,295",3,2,x,x,x,x,0,0,0,0,0,0
"Fraser-Fort George E, British Columbia [CCS590553046]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fraser-Fort George F, British Columbia [CCS590553048]",0,2,0,x,0,x,0,2,0,x,0,x,1,0,x,0,x,0
"Skeena-Queen Charlotte C, British Columbia [CCS590647021]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
