Poultry inventory,"Broilers, roasters and Cornish 5",,,,Turkeys 6,,,,Other poultry,,,
Unit of measure,Number of farms reporting,,Number of birds,,Number of farms reporting,,Number of birds,,Number of farms reporting,,Number of birds,
"Thompson-Nicola N (Beautiful Nicola Valley - South), British Columbia [CCS590333012]",2,5,x,164,1,4,x,x,2,2,x,x
"Thompson-Nicola E (Bonaparte Plateau), British Columbia [CCS590333032]",4,3,381,x,3,5,52,x,2,6,x,x
"Thompson-Nicola I (Blue Sky Country), British Columbia [CCS590333037]",7,7,538,x,6,6,x,x,4,4,57,34
"Thompson-Nicola J (Copper Desert Country), British Columbia [CCS590333039]",4,7,475,"1,126",2,3,x,14,3,4,11,33
"Thompson-Nicola P (Rivers and the Peaks), British Columbia [CCS590333044]",15,31,"2,286","2,457",5,11,x,263,5,19,32,150
"Thompson-Nicola L (Grasslands), British Columbia [CCS590333060]",33,17,"3,322",x,18,11,x,x,17,19,498,153
"Thompson-Nicola A (Wells Gray Country), British Columbia [CCS590333068]",4,6,290,194,3,4,48,x,3,5,21,34
"Thompson-Nicola B (Thompson Headwaters), British Columbia [CCS590333070]",0,0,0,0,0,0,0,0,0,0,0,0
"Thompson-Nicola O (Lower North Thompson), British Columbia [CCS590333072]",9,5,739,x,6,3,35,x,9,8,176,180
"Central Okanagan, British Columbia [CCS590335012]",26,28,x,"3,781",9,14,118,x,25,27,507,266
"Central Okanagan J, British Columbia [CCS590335020]",4,1,x,x,6,3,76,x,4,3,40,20
"North Okanagan B, British Columbia [CCS590337017]",13,10,x,"2,100",2,8,x,472,7,8,79,301
"North Okanagan D, British Columbia [CCS590337022]",7,7,x,x,0,6,0,x,9,11,94,81
"North Okanagan E, British Columbia [CCS590337023]",4,5,x,312,3,4,46,x,3,7,9,75
"Spallumcheen, British Columbia [CCS590337024]",33,37,"939,673","813,295",9,8,x,x,11,23,676,820
"North Okanagan F, British Columbia [CCS590337041]",10,14,"124,992",x,4,6,26,x,7,8,70,140
"Columbia-Shuswap A, British Columbia [CCS590339011]",2,2,x,x,1,2,x,x,1,1,x,x
"Columbia-Shuswap C, British Columbia [CCS590339037]",3,5,405,x,2,1,x,x,4,8,24,52
"Columbia-Shuswap D, British Columbia [CCS590339039]",13,22,x,"258,051",8,6,95,x,8,14,83,137
"Columbia-Shuswap E, British Columbia [CCS590339043]",4,3,116,80,2,0,x,0,2,2,x,x
"Columbia-Shuswap F, British Columbia [CCS590339044]",2,4,x,570,2,1,x,x,1,3,x,32
"East Kootenay A, British Columbia [CCS590401017]",1,2,x,x,2,0,x,0,2,1,x,x
"East Kootenay B, British Columbia [CCS590401019]",0,0,0,0,0,1,0,x,0,1,0,x
"East Kootenay C, British Columbia [CCS590401035]",3,6,x,x,4,3,88,16,4,9,x,"1,154"
