Egg production,Table eggs,,,,Hatching eggs 8,,,
Unit of measure,Number of farms reporting,,Number of eggs (dozens),,Number of farms reporting,,Number of eggs (dozens),
"Thompson-Nicola B (Thompson Headwaters), British Columbia [CCS590333070]",0,3,0,315,0,2,0,x
"Thompson-Nicola O (Lower North Thompson), British Columbia [CCS590333072]",27,23,"13,227","9,473",6,4,108,113
"Central Okanagan, British Columbia [CCS590335012]",95,97,"75,069","67,392",4,8,43,x
"Central Okanagan J, British Columbia [CCS590335020]",22,16,"17,685","32,150",0,1,0,x
"North Okanagan B, British Columbia [CCS590337017]",36,47,"37,806","34,449",1,1,x,x
"North Okanagan D, British Columbia [CCS590337022]",24,25,"28,966","11,557",2,0,x,0
"North Okanagan E, British Columbia [CCS590337023]",10,7,x,"4,277",1,1,x,x
"Spallumcheen, British Columbia [CCS590337024]",33,60,x,"271,845",3,8,47,98
"North Okanagan F, British Columbia [CCS590337041]",18,20,x,"15,192",2,1,x,x
"Columbia-Shuswap A, British Columbia [CCS590339011]",8,4,"4,393","2,130",0,0,0,0
"Columbia-Shuswap C, British Columbia [CCS590339037]",17,13,x,x,1,1,x,x
"Columbia-Shuswap D, British Columbia [CCS590339039]",43,56,x,x,2,8,x,x
"Columbia-Shuswap E, British Columbia [CCS590339043]",8,8,x,"5,926",0,0,0,0
"Columbia-Shuswap F, British Columbia [CCS590339044]",4,6,"1,407","4,533",1,0,x,0
"East Kootenay A, British Columbia [CCS590401017]",5,7,"15,975","7,525",0,0,0,0
"East Kootenay B, British Columbia [CCS590401019]",2,6,x,"1,233",0,1,0,x
"East Kootenay C, British Columbia [CCS590401035]",14,25,"7,652","11,922",0,2,0,x
"East Kootenay E, British Columbia [CCS590401037]",3,4,x,"1,437",2,2,x,x
"East Kootenay F, British Columbia [CCS590401046]",3,5,x,"1,987",0,2,0,x
"East Kootenay G, British Columbia [CCS590401048]",6,3,"3,992","3,550",0,1,0,x
"Central Kootenay A, British Columbia [CCS590403010]",5,2,x,x,1,0,x,0
"Central Kootenay B, British Columbia [CCS590403013]",21,25,"15,674","82,004",3,0,11,0
"Central Kootenay C, British Columbia [CCS590403017]",6,6,"14,648",x,0,0,0,0
"Central Kootenay D, British Columbia [CCS590403039]",3,6,x,945,0,0,0,0
"Central Kootenay E, British Columbia [CCS590403041]",13,20,"10,689","19,912",0,1,0,x
"Central Kootenay G, British Columbia [CCS590403047]",5,8,"7,682","5,561",0,1,0,x
"Central Kootenay H, British Columbia [CCS590403052]",26,27,"19,102","15,672",1,0,x,0
"Central Kootenay J, British Columbia [CCS590403058]",11,16,"20,121","18,189",2,3,x,x
"Central Kootenay K, British Columbia [CCS590403060]",13,10,"4,617","4,799",1,1,x,x
"Kootenay Boundary B / Lower Columbia-Old-Glory, British Columbia [CCS590405030]",11,11,"7,562","5,906",0,1,0,x
"Kootenay Boundary D / Rural Grand Forks, British Columbia [CCS590405052]",24,20,"16,820","14,939",2,2,x,x
"Kootenay Boundary E / West Boundary, British Columbia [CCS590405054]",21,19,"82,942","83,835",1,3,x,21
"Cariboo D, British Columbia [CCS590541010]",10,14,"5,052","5,679",2,2,x,x
"Cariboo E, British Columbia [CCS590541012]",13,10,"6,923","5,272",1,1,x,x
"Cariboo F, British Columbia [CCS590541014]",31,29,"29,349","8,636",0,3,0,30
"Cariboo G, British Columbia [CCS590541015]",8,10,"5,736","9,355",0,0,0,0
"Cariboo H, British Columbia [CCS590541016]",14,5,"10,085",786,0,1,0,x
"Cariboo L, British Columbia [CCS590541017]",12,20,"19,854","19,738",2,3,x,x
"Cariboo A, British Columbia [CCS590541019]",15,17,"6,507","5,616",1,0,x,0
"Cariboo B, British Columbia [CCS590541021]",18,13,"9,132","4,993",2,1,x,x
"Cariboo C, British Columbia [CCS590541026]",6,2,"2,600",x,1,0,x,0
"Cariboo I, British Columbia [CCS590541027]",7,5,786,820,0,0,0,0
"Cariboo J, British Columbia [CCS590541039]",7,8,"2,428","2,707",0,0,0,0
"Cariboo K, British Columbia [CCS590541041]",7,0,"1,539",0,0,0,0,0
"Fraser-Fort George H, British Columbia [CCS590553019]",17,16,"10,431","8,618",1,3,x,15
"Fraser-Fort George A, British Columbia [CCS590553038]",13,14,"3,183","3,213",0,3,0,73
"Fraser-Fort George C, British Columbia [CCS590553042]",17,27,"11,949","26,211",2,1,x,x
"Fraser-Fort George D, British Columbia [CCS590553044]",18,17,"6,771","6,658",2,2,x,x
"Fraser-Fort George E, British Columbia [CCS590553046]",4,2,x,x,0,0,0,0
"Fraser-Fort George F, British Columbia [CCS590553048]",2,13,x,"3,207",0,0,0,0
"Skeena-Queen Charlotte C, British Columbia [CCS590647021]",0,0,0,0,0,0,0,0
"Skeena-Queen Charlotte D, British Columbia [CCS590647027]",9,4,"3,830",324,2,0,x,0
"Skeena-Queen Charlotte E, British Columbia [CCS590647032]",0,0,0,0,0,0,0,0
"Kitimat-Stikine C (Part 1), British Columbia [CCS590649013]",19,22,"9,161",x,2,1,x,x
"Kitimat-Stikine B, British Columbia [CCS590649028]",13,7,"4,510",x,2,1,x,x
"Kitimat-Stikine A, British Columbia [CCS590649039] (Terminated)",0t,..t,0t,..t,0t,..t,0t,..t
"Bulkley-Nechako C, British Columbia [CCS590751015]",4,6,"1,347",x,0,0,0,0
"Bulkley-Nechako D, British Columbia [CCS590751017]",3,8,x,"2,634",1,1,x,x
"Bulkley-Nechako F, British Columbia [CCS590751019]",17,26,"8,125",x,1,2,x,x
